date;production;superficie
1990/1991;200280;86700
1991/1992;38350;79900
1992/1993;97300;61200
1993/1994;204400;102200
1994/1995;9570;63800
1995/1996;336150;135000
1996/1997;91910;85900
1997/1998;219450;142500
1998/1999;103020;130400
1999/2000;2820;141200
2000/2001;88700;109500
2001/2002;113520;112400
2002/2003;277030;139200
2003/2004;212648.3874;142300
2004/2005;84252;142800
2005/2006;315168;156800
2006/2007;29498.5;142400
2007/2008;98812.3867;145200
2008/2009;309244.4;145000
2009/2010;238312.035;153000
2010/2011;430040;165400
2011/2012;57312.252;99500
2012/2013;300482;118300
2013/2014;75921.1884;105550
2014/2015;317407.65;109500
2015/2016;53592;103823
2016/2017;287840;112000
2017/2018;406570;109000
2018/2019;18252;40560
2019/2020;873.6;112100
